Date,Sentiment_Score,Prob_Pos,Prob_Neg,News_Volume
"April 06, 2007, Friday",-0.0026010233,0.36001644,0.36261746,10
"April 06, 2008, Sunday",-0.40031242,0.0731165,0.47342893,1
"April 06, 2009, Monday",0.3212682,0.4516923,0.13042408,12
"April 06, 2010, Tuesday",0.31405663,0.44785336,0.13379675,17
"April 06, 2011, Wednesday",-0.004388291,0.3401875,0.34457576,13
"April 06, 2012, Friday",0.17441697,0.352783,0.178366,6
"April 06, 2013, Saturday",0.03640583,0.34477523,0.30836943,6
"April 06, 2014, Sunday",0.42404833,0.5207055,0.096657164,2
"April 06, 2015, Monday",0.1543626,0.3766594,0.22229674,7
"April 06, 2016, Wednesday",0.48055598,0.55181855,0.0712626,3
"April 06, 2017, Thursday",-0.0689309,0.13470432,0.20363522,5
"April 06, 2018, Friday",-0.035519354,0.19567284,0.23119222,7
"April 06, 2019, Saturday",-0.076235,0.17547196,0.25170696,4
"April 06, 2020, Monday",0.29923698,0.63512355,0.3358865,3
"April 07, 2003, Monday",0.2456664,0.33407333,0.088406935,8
"April 07, 2004, Wednesday",0.08737904,0.11079586,0.023416823,9
"April 07, 2005, Thursday",0.31127423,0.45380825,0.142534,13
"April 07, 2006, Friday",-0.13835306,0.23375471,0.3721078,15
"April 07, 2007, Saturday",0.31120858,0.38434657,0.07313801,3
"April 07, 2008, Monday",0.4264079,0.46444094,0.03803302,8
"April 07, 2009, Tuesday",0.08385446,0.32703525,0.24318081,18
"April 07, 2010, Wednesday",0.020908147,0.3698105,0.34890234,10
"April 07, 2011, Thursday",0.45122573,0.5046839,0.05345819,11
"April 07, 2012, Saturday",0.31798854,0.48344496,0.16545644,3
"April 07, 2013, Sunday",0.3347547,0.4000978,0.065343075,4
"April 07, 2014, Monday",0.29790866,0.31101137,0.013102695,4
"April 07, 2015, Tuesday",-0.17420565,0.12854761,0.30275327,18
"April 07, 2016, Thursday",-0.09969656,0.16791873,0.2676153,8
"April 07, 2017, Friday",0.62297237,0.63909745,0.016125033,5
"April 07, 2018, Saturday",-0.0071948767,0.19837987,0.20557475,4
"April 07, 2020, Tuesday",-0.035410106,0.28604066,0.32145077,4
"April 08, 2003, Tuesday",0.07622216,0.12983046,0.0536083,6
"April 08, 2004, Thursday",0.6333998,0.6932275,0.059827767,10
"April 08, 2005, Friday",0.068671845,0.29247773,0.22380584,9
"April 08, 2006, Saturday",-0.22996852,0.24439739,0.47436592,8
"April 08, 2007, Sunday",0.43924582,0.5001587,0.060912903,3
"April 08, 2008, Tuesday",0.29693708,0.47501948,0.17808242,7
"April 08, 2009, Wednesday",0.1398733,0.36462224,0.22474895,9
"April 08, 2010, Thursday",0.50217104,0.5649757,0.062804595,19
"April 08, 2011, Friday",0.3263357,0.47012678,0.14379112,15
"April 08, 2012, Sunday",-0.14434747,0.38852623,0.5328737,5
"April 08, 2013, Monday",0.034357857,0.33882648,0.30446863,5
"April 08, 2014, Tuesday",-0.112005085,0.22703396,0.33903906,11
"April 08, 2015, Wednesday",-0.113896586,0.265924,0.3798206,6
