Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Is_Split,Is_Dividend,Log_Ret,RSI,MACD,MACD_Signal,Volatility,Sentiment_Decay,Sentiment_Score,Prob_Pos,Prob_Neg,News_Volume,Sentiment_Impact,Bullish_Pressure,Bearish_Pressure,Sector_Ret,Sector_Vol,Rolling_Beta,Target_Close
2008-01-29,0.19933886105100151,0.2073012290272355,0.18644077100728357,0.20014359989808755,0.035908920444054006,0.0,0.0,0,0,0.4846103514064688,0.5535887444398129,0.5815717842043681,0.5976639016897282,0.6101353010930842,0.5688692695028164,0.4558596836696676,0.3446332899573376,0.44107403418694907,0.41666666666666663,0.3838235074125313,0.4658032626489966,0.6242386731410391,0.5811633301901312,0.36344815457907753,0.9999999999999999,196.06385803222656
2008-01-30,0.19910686591687532,0.19689273462631987,0.18644083197638994,0.18960117043872327,0.0021537736658138675,0.0,0.0,0,0,0.3519924347950584,0.5217104260734203,0.5786742569875909,0.594989293784084,0.6015909962228106,0.6340048914707124,0.7696283886897382,0.6966367785351147,0.1732943271747601,0.3333333333333333,0.8474457345977942,0.8710539242905384,0.22689079017803032,0.5867410581725817,0.36002498894199086,0.9999999999999999,199.63514709472656
2008-01-31,0.191680858376365,0.19689274237275758,0.1814961940483975,0.19425194244043714,0.03630890579686664,0.0,0.0,0,0,0.5259256312382545,0.4722217277955292,0.5806696234150717,0.5932885354021623,0.6032940860350996,0.6280071123102897,0.5380027195820432,0.44515580937222105,0.37913030140065285,0.2777777777777778,0.5072241393436507,0.5203578429655344,0.4640581819339923,0.4873539130677041,0.3568799450275172,0.9999999999999999,193.2852020263672
2008-02-01,0.19678621643499206,0.19689271697929198,0.18361530904501128,0.18598261833378704,0.06430576504700265,0.0,0.0,0,0,0.37617659518164714,0.34509281771800776,0.5726238664300032,0.5901580745428076,0.6113846639803431,0.6585253203047006,0.5692510677306435,0.4525689740867576,0.32551305348146203,0.3055555555555555,0.5527338630090642,0.5482197833406184,0.41288795528669686,0.442058962953337,0.35598804714601523,0.9999999999999999,193.96205139160156
2008-02-04,0.1919128989517142,0.19222044334048402,0.18761811804161405,0.18686405694660163,0.027844795960349524,0.0,0.0,0,0,0.48265777164051754,0.40174970730738524,0.566613505406111,0.586331585084858,0.6029233021569623,0.7642077196542805,0.7725102405314552,0.6937300507994184,0.1648492602247588,0.1388888888888889,0.736252659090797,0.605940615503264,0.15077191031485143,0.5805875165357537,0.43784323316912577,0.9999999999999999,188.75210571289065
2008-02-05,0.1856471958970709,0.1850963711022214,0.182025969252882,0.18007931645963665,0.016516827499520208,0.0,0.0,0,0,0.39132706257808214,0.4106768594184829,0.5540472850695694,0.5805061567534945,0.6048030759601303,0.7195209144994164,0.6586290212241066,0.46436383957545124,0.16298193823659435,0.4722222222222222,0.7131976072240549,0.6542925064213073,0.24046225190273515,0.5993385731571138,0.45255048809068,0.9999999999999999,193.1961669921875
2008-02-06,0.17590056779143737,0.182760242059719,0.17338462985892378,0.18586667094423448,0.02064045540209358,0.0,0.0,0,0,0.5414443843954974,0.4342594284483864,0.5499666626357353,0.5749481848686689,0.6029439384600859,0.7201011433361919,0.6776762886966845,0.5651833379420985,0.22418301909286295,0.25,0.6884244996057318,0.634402501186358,0.26349484847178356,0.6060664862662875,0.4512212824267876,0.9999999999999999,184.29916381835935
2008-02-07,0.183941555853619,0.18177721034012126,0.17303144294830003,0.17428039704261028,0.021597840233397985,0.0,0.0,0,0,0.3321185362409468,0.43369379232904065,0.5339542502915317,0.5669794993228426,0.6198087051282757,0.7220928252182239,0.36845868950666527,0.18917383705403104,0.4596978047354857,0.19444444444444442,0.30181891239760206,0.1917642456678491,0.4879472471150382,0.5767914028824763,0.4661891661011882,0.9999999999999999,175.20619201660156
2008-02-08,0.17234998352308256,0.1725367052631538,0.1613761809052197,0.162438919657863,0.021578096063747585,0.0,0.0,0,0,0.32185976991973353,0.4346082806326746,0.508502439274265,0.5550058243108347,0.5875065450317566,0.6968129821440456,0.5966421581525366,0.43260817539247287,0.2527194955840137,0.19444444444444442,0.571407081793,0.438531996367911,0.26824966508916964,0.6790984838541598,0.46763990545219825,0.9999999999999999,165.78372192382812
2008-02-11,0.1605031450000728,0.15919060222036868,0.14617726383371565,0.15016834751219055,0.028168459312832878,0.0,0.0,0,0,0.30793988504815395,0.4654168898383717,0.47548509755265395,0.5381639406773466,0.5278904125577333,0.7650160833959543,0.6302092994129324,0.48652711304528606,0.2399254796705707,0.3055555555555555,0.6387960493558232,0.5893550017237643,0.3043267840194418,0.4869252566874477,0.4497608320559038,0.9999999999999999,176.44410705566406
